iter	Passed	Remaining
0	2	38
1	4	41
2	7	38
3	9	35
4	11	32
5	14	30
6	15	27
7	17	24
8	19	21
9	21	19
10	22	16
11	24	14
12	25	11
13	27	9
14	28	7
15	30	5
16	31	3
17	33	1
18	34	0
