iter	RMSE
0	10.50364053
1	10.20054932
2	9.910498862
3	9.58341438
4	9.334347472
5	9.103239603
6	8.882927211
7	8.793333379
8	8.611262166
9	8.480640355
10	8.351669999
11	8.265938847
12	8.169128634
13	8.107766253
14	8.033917126
15	7.978086177
16	7.903372717
17	7.854247859
18	7.812992562
