iter	Passed	Remaining
403	9116	2391
404	9138	2369
405	9160	2346
406	9186	2324
407	9209	2302
408	9230	2279
409	9248	2255
410	9269	2232
411	9293	2210
412	9313	2187
413	9334	2164
414	9354	2141
415	9378	2119
416	9400	2096
417	9422	2073
418	9444	2051
419	9466	2028
420	9486	2005
421	9509	1983
422	9531	1960
423	9553	1937
424	9574	1914
425	9596	1892
426	9624	1870
427	9650	1848
428	9677	1827
429	9701	1804
430	9721	1781
431	9746	1759
432	9774	1738
433	9800	1716
434	9830	1694
435	9857	1673
436	9888	1651
437	9921	1630
438	9957	1610
439	9984	1588
440	10012	1566
441	10037	1544
442	10065	1522
443	10092	1500
444	10123	1478
445	10149	1456
446	10176	1434
447	10202	1411
448	10230	1389
449	10271	1369
450	10306	1348
451	10335	1326
452	10369	1304
453	10397	1282
454	10426	1260
455	10453	1237
456	10475	1214
457	10501	1192
458	10524	1169
459	10544	1146
460	10566	1123
461	10589	1100
462	10611	1077
463	10634	1054
464	10654	1031
465	10675	1007
466	10697	985
467	10717	961
468	10738	938
469	10759	915
470	10785	893
471	10808	870
472	10833	847
473	10854	824
474	10874	801
475	10896	778
476	10915	755
477	10938	732
478	10961	709
479	10988	686
480	11011	663
481	11034	640
482	11056	618
483	11081	595
484	11105	572
485	11127	549
486	11151	526
487	11173	503
488	11194	480
489	11214	457
490	11234	434
491	11254	411
492	11275	388
493	11298	365
494	11319	343
495	11340	320
496	11365	297
497	11388	274
498	11408	251
499	11430	228
500	11454	205
501	11476	182
502	11498	160
503	11518	137
504	11540	114
505	11562	91
506	11581	68
507	11603	45
508	11622	22
509	11644	0
