iter	RMSE
349	1965.963231
350	1965.656456
351	1965.31379
352	1965.164391
353	1964.886887
354	1964.609867
355	1964.267082
356	1964.04403
357	1963.828771
358	1963.480764
359	1963.240801
360	1962.882363
361	1962.651061
362	1962.522268
363	1962.303255
364	1962.029718
365	1961.389539
366	1961.262808
367	1961.090492
368	1960.808907
369	1960.610776
370	1960.45611
371	1960.20744
372	1960.076684
373	1959.656776
374	1959.309477
375	1959.162647
376	1959.012029
377	1958.73605
378	1958.080355
379	1957.750147
380	1957.511085
381	1957.265419
382	1957.16205
383	1956.796379
384	1956.70841
385	1956.321939
386	1955.987439
387	1955.815491
388	1955.545613
389	1955.179627
390	1955.027833
391	1954.74698
392	1954.531703
393	1954.350387
394	1954.214092
395	1953.804111
396	1953.496053
397	1953.179745
398	1953.056535
399	1952.726063
400	1952.423462
401	1952.271946
402	1952.148172
403	1951.7764
404	1951.536279
405	1951.421992
406	1950.936774
407	1950.745461
408	1950.628614
409	1950.562475
410	1950.340521
411	1950.041268
412	1949.846218
413	1949.508086
414	1949.253702
415	1948.978556
416	1948.604863
417	1948.291435
418	1948.081388
419	1947.908009
420	1947.769172
421	1947.322061
422	1947.130144
423	1946.629111
424	1946.338553
425	1946.18422
426	1945.867343
427	1945.526974
428	1945.219126
429	1944.970574
430	1944.784438
431	1944.537405
432	1944.390685
433	1944.04374
434	1943.721374
435	1943.543171
436	1943.196288
437	1943.005564
438	1942.824959
439	1942.525722
440	1942.192377
441	1942.058685
442	1941.714374
443	1941.412744
444	1941.093512
445	1940.898227
446	1940.626809
447	1940.477691
448	1940.066221
449	1939.823621
450	1939.516347
451	1939.14413
452	1938.940516
453	1938.824862
454	1938.602514
455	1938.238835
456	1938.042399
457	1937.745084
458	1937.419842
459	1937.266836
460	1937.038927
461	1936.848958
462	1936.513979
463	1936.254758
464	1936.086571
465	1935.888457
466	1935.717042
467	1935.467886
468	1935.329842
469	1935.080683
470	1934.712497
471	1934.417342
472	1934.048538
473	1933.828514
474	1933.609315
475	1933.464507
476	1933.349432
477	1933.064532
478	1932.71916
479	1932.478861
480	1932.144846
481	1931.909631
482	1931.742046
483	1931.496625
484	1931.237403
485	1930.961706
486	1930.776103
487	1930.649159
488	1930.458866
489	1930.268802
490	1930.167293
491	1930.018047
492	1929.798322
493	1929.590501
494	1929.182876
495	1928.870373
496	1928.724623
497	1928.403049
498	1928.247609
499	1928.012544
500	1927.757718
501	1927.601158
502	1927.438127
503	1927.300607
504	1926.942295
505	1926.760586
506	1926.642099
507	1926.420082
508	1926.376243
509	1925.942734
